Membership No  Date Joined  Active  
    94338      2019-1-12    no    
    45657      2019-9-23    no    
    59904      2019-11-1    no    
    18591      2017-3-20    no    
    24080      2016-11-22   no    
    34184      2016-8-15    no    
    80082      2019-2-1     no    
    47598      2019-12-3    no    
    98485      2019-3-19    no    
    56237      2017-3-16    no    
    92048      2015-6-6     no    
    51694      2016-3-18    no    
    17105      2020-11-22   no    
