Membership No  Date Joined  Active  
    99784      2016-12-14   yes   
    68719      2020-11-4    yes   
    39935      2020-4-21    yes   
    24261      2019-5-18    yes   
    44003      2020-1-17    yes   
    54682      2020-1-13    yes   
    40073      2015-9-24    yes   
    82018      2020-7-5     yes   
    51152      2019-9-13    yes   
    97308      2020-12-11   yes   
    67272      2017-9-3     yes   
    70887      2015-5-2     yes   
    82751      2015-1-19    yes   
